product_id,product_title,predicted_rating,actual_rating,discounted_price,original_price,total_reviews,is_best_seller,discount_percentage,user_id
4441,"HP ScanJet Pro 3000 s4 (6FW07A) 40ppm USB 3.0 Color Duplex Scanner with 50-page ADF for Documents, Photos, Receipts, and Cards. TWAIN/ISIS drivers included",2.1898375854095393,3.7,216.66,216.66,76.0,No Badge,0.0,1
7139,"SanDisk 32GB Ultra SDHC UHS-I Class 10 Camera Card 120MB/s U1, Full HD, SD. C10 SDSDUN4-032G (10 Pack) Bundle with (1) GoRAM USB 3.0 Reader (32GB)",2.1696763626210176,4.9,76.99,76.99,39.0,No Badge,0.0,1
7840,"TRX Training 6 Month On-Demand Membership - Unlimited Access to Expert-Led Workouts, Personalized Programs, Strength, Cardio & Recovery - Train Anytime",2.068372150328177,4.7,49.95,49.95,8.0,No Badge,0.0,1
5523,Lume Cube RGB Tube Light Mini for Photo & Video | RGBWW Full Color Tube Light | Bluetooth App Controlled | Millions of Colors | Aluminum Durable Design | 97+ CRI,2.000983709050528,4.9,169.99,169.99,29.0,No Badge,0.0,1
783,ASURION 4 Year Home Improvement Protection Plan ($600 - $699.99),1.9621471589141215,4.4,93.99,93.99,613.0,No Badge,0.0,1
1881,"Belkin MagSafe-Compatible Charger, 3-in-1 Wireless Charging Station, Qi2-Certified 15W Wireless Charge for Apple iPhone 16 Series, Apple Watch, AirPods w/Non-Slip Base, 40W Included - Black",1.8749751702646336,4.4,119.99,119.99,3520.0,No Badge,0.0,1
4717,"JBL RallyBar - 21"" Bluetooth Universal Outdoor Vehicle Soundbar with Built-in 150w RMS Amplifier, LED Lights, IP66 Water & Dust Resistant, Black",1.872839981980761,4.7,879.95,879.95,133.0,No Badge,0.0,1
376,ASURION 2 Year Major Appliance Protection Plan ($600 - $699.99),1.808255133503624,3.9,66.99,66.99,16.0,No Badge,0.0,1
4927,Kingston DataTraveler SE9 USB Flash Drive; 256GB,1.572113239677785,4.5,24.99,26.99,1479.0,No Badge,7.41,1
7288,Sennheiser HD 25 Monitor Headphones with Headphone Case & Padded Holder Bundle,1.5644638561141704,4.3,149.95,149.95,93.0,No Badge,0.0,1
